,id,link,date,price,bedrooms,bathrooms,garages,erf size,floor size,address,description,location
0,0,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/108097693?plId=483575&plt=2,2019_11_20,5950000.0,5.0,2.0,1.0,1661.0,,,5 Bedroom House in Plumstead,Plumstead
1,1,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/107818848?plId=487307&plt=3,2019_11_20,1850000.0,2.0,1.0,,306.0,,,2 Bedroom House in Plumstead,Plumstead
2,2,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/108175599?plId=486377&plt=3,2019_11_20,3449000.0,4.0,2.0,1.0,495.0,,,4 Bedroom House in Plumstead,Plumstead
3,3,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/108005973?plId=485226&plt=3,2019_11_20,2450000.0,3.0,2.0,1.0,266.0,,,3 Bedroom House in Plumstead,Plumstead
4,4,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/107581326?plId=485176&plt=3,2019_11_20,2695000.0,3.0,3.0,1.0,496.0,,,3 Bedroom House in Plumstead,Plumstead
5,5,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/108138710?plId=484820&plt=3,2019_11_20,2295000.0,4.0,2.5,2.0,497.0,,,4 Bedroom House in Plumstead,Plumstead
6,6,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/108167915?plId=484522&plt=3,2019_11_20,3595000.0,3.0,2.5,,552.0,,,3 Bedroom House in Plumstead,Plumstead
7,7,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/107964293?plId=484522&plt=3,2019_11_20,3595000.0,3.0,2.5,,552.0,,,3 Bedroom House in Plumstead,Plumstead
8,8,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/107485795?plId=484392&plt=3,2019_11_20,2695000.0,3.0,3.0,1.0,495.0,,,3 Bedroom House in Plumstead,Plumstead
9,9,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/107805857?plId=484285&plt=3,2019_11_20,2450000.0,3.0,1.0,1.0,496.0,,,3 Bedroom House in Plumstead,Plumstead
10,10,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/108136651?plId=483673&plt=3,2019_11_20,1150000.0,1.0,1.0,,,67.0,,1 Bedroom Apartment in Plumstead,Plumstead
11,11,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/107955699?plId=486298&plt=2,2019_11_20,2720000.0,3.0,2.0,,370.0,,,3 Bedroom House in Plumstead,Plumstead
12,12,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/107955699?plId=486298&plt=2,2019_11_20,2720000.0,3.0,2.0,,370.0,,,3 Bedroom House in Plumstead,Plumstead
13,13,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/108144788?plId=484045&plt=2,2019_11_20,1595000.0,2.0,1.0,,,74.0,,2 Bedroom Apartment in Plumstead,Plumstead
